Operation,Certificate,ProcessingTime(ms),Status
Issue,CERT: 32001,10.495,Issued
Issue,CERT: 2289,10.365,Issued
Issue,CERT: 98844,10.526,Issued
Issue,CERT: 37857,10.357,Issued
Issue,CERT: 19958,10.054,Issued
Issue,CERT: 48184,10.344,Issued
Issue,CERT: 17749,10.516,Issued
Issue,CERT: 24472,10.348,Issued
Issue,CERT: 98819,10.456,Issued
Issue,CERT: 76548,10.380,Issued
Issue,CERT: 71985,10.339,Issued
Issue,CERT: 13788,10.376,Issued
Issue,CERT: 84264,10.475,Issued
Issue,CERT: 45164,10.525,Issued
Issue,CERT: 32419,10.571,Issued
Issue,CERT: 74503,10.244,Issued
Issue,CERT: 56354,10.601,Issued
Issue,CERT: 49816,10.480,Issued
Issue,CERT: 671,10.117,Issued
Issue,CERT: 84239,10.125,Issued
Issue,CERT: 56314,10.594,Issued
Issue,CERT: 86866,10.333,Issued
Issue,CERT: 7243,10.312,Issued
Issue,CERT: 45264,10.418,Issued
Issue,CERT: 27570,10.540,Issued
Issue,CERT: 54830,10.213,Issued
Issue,CERT: 43092,10.503,Issued
Issue,CERT: 38440,10.471,Issued
Issue,CERT: 39374,10.439,Issued
Issue,CERT: 60170,10.503,Issued
Issue,CERT: 87522,10.505,Issued
Issue,CERT: 42842,10.365,Issued
Issue,CERT: 96764,10.434,Issued
Issue,CERT: 44139,10.431,Issued
Issue,CERT: 34444,10.554,Issued
Issue,CERT: 89908,10.513,Issued
Issue,CERT: 40386,10.470,Issued
Issue,CERT: 13019,10.572,Issued
Issue,CERT: 14770,10.286,Issued
Issue,CERT: 91321,10.660,Issued
Issue,CERT: 49296,10.409,Issued
Issue,CERT: 41977,10.370,Issued
Issue,CERT: 69739,10.168,Issued
Issue,CERT: 45709,10.427,Issued
Issue,CERT: 73003,10.177,Issued
Issue,CERT: 77596,10.198,Issued
Issue,CERT: 87781,10.577,Issued
Issue,CERT: 27433,10.486,Issued
Issue,CERT: 96128,10.364,Issued
Issue,CERT: 87923,10.456,Issued
Issue,CERT: 91874,10.572,Issued
Issue,CERT: 15038,10.336,Issued
Issue,CERT: 48277,10.479,Issued
Issue,CERT: 38037,10.490,Issued
Issue,CERT: 52510,10.189,Issued
Issue,CERT: 65221,10.493,Issued
Issue,CERT: 28465,10.565,Issued
Issue,CERT: 28798,10.527,Issued
Issue,CERT: 60275,10.285,Issued
Issue,CERT: 25873,10.134,Issued
Issue,CERT: 29248,10.604,Issued
Issue,CERT: 85932,10.200,Issued
Issue,CERT: 36487,10.518,Issued
Issue,CERT: 74383,10.438,Issued
Issue,CERT: 65473,10.506,Issued
Issue,CERT: 87764,10.627,Issued
Issue,CERT: 28712,10.401,Issued
Issue,CERT: 33239,10.367,Issued
Issue,CERT: 22465,10.374,Issued
Issue,CERT: 92525,10.518,Issued
Issue,CERT: 94451,10.424,Issued
Issue,CERT: 41650,10.413,Issued
Issue,CERT: 81704,10.428,Issued
Issue,CERT: 57669,10.183,Issued
Issue,CERT: 42974,10.407,Issued
Issue,CERT: 61223,10.483,Issued
Issue,CERT: 46879,10.403,Issued
Issue,CERT: 84828,10.416,Issued
Issue,CERT: 43296,10.452,Issued
Issue,CERT: 11224,10.471,Issued
Issue,CERT: 59729,10.397,Issued
Issue,CERT: 8444,10.397,Issued
Issue,CERT: 35588,10.428,Issued
Issue,CERT: 51888,10.234,Issued
Issue,CERT: 89469,10.047,Issued
Issue,CERT: 94577,10.444,Issued
